date	11 Violence Against the Person Offs	12 Sexual Offences Offs	13 Robbery Offs	14 Burglary Offs	15 Vehicle Offs	16 Theft Offs	17 Arson and Criminal Damage Offs	18 Drug Offs	19 Possession of Weapons Offs	TNO Offs	Homicide Offs	Violence with Injury Offs	Violence without Injury Offs	Rape Offs	Other Sexual Offences Offs	Robbery of Business Property Offs	Robbery of Personal Property Offs	Burglary - Residential Offs	Burglary - Business and Community Offs	Aggravated Vehicle Taking Offs	Theft from MV Offs	Theft or Taking of MV Offs	Theft from Person Offs	Bicycle Theft Offs	Shoplifting Offs	Other Theft Offs	Drug Trafficking Offs	Poss Drugs Offs	Poss Article Blade or Point Offs	Domestic Abuse Hate Crime Offs	Domestic Abuse Homicide Offs	Domestic Abuse Incidents	Youth Homicide Offs	Serious Youth Violence	Youth Violence	Knife Crime Offs	Knife Crime With Injury Offs	Knife Crime with Injury Pers Robb Offs	Knife Crime Injury Victims 1-24	Knife Crime Injury Victims Not DA 1-24	Knife Possession Offs	Domestic Abuse  Offs
20180101	753	45	95	187	199	396	205	81	288	2098	1	422	330	24	21	5	90	157	30	0	129	47	122	13	61	200	3	78	9	370	0	580	1	27	44	59	30	3	11	11	10	256
20180102	484	56	86	274	223	473	183	60	272	1973	1	167	316	32	24	9	77	182	92	2	125	71	129	25	84	235	3	57	5	237	0	422	0	9	17	35	7	2	3	3	11	256
20180103	497	63	104	282	354	595	196	95	284	2353	0	188	309	31	32	9	95	213	69	2	207	90	138	45	119	293	8	87	7	213	0	373	0	14	34	44	11	1	6	6	15	256
20180104	522	39	90	284	296	575	148	103	290	2234	1	173	348	18	21	8	82	211	73	3	171	80	119	31	118	307	10	93	8	201	1	376	0	27	47	47	15	4	8	7	12	256
20180105	559	67	79	282	292	516	155	101	298	2224	0	202	357	35	32	7	72	212	70	1	167	72	99	32	110	275	7	94	8	215	0	371	0	21	56	50	18	5	9	9	13	256
20180106	550	34	89	235	278	612	164	93	244	2230	0	202	348	16	18	7	82	182	53	4	158	80	140	48	128	296	6	87	11	245	0	398	0	14	36	31	7	1	2	1	16	256
20180107	471	31	107	203	287	549	147	99	220	2011	1	194	276	10	21	11	96	159	44	3	162	68	118	40	110	281	8	91	12	219	0	368	0	14	26	37	6	1	4	4	14	256
20180108	463	46	66	285	318	553	165	85	280	2121	1	156	306	18	28	4	62	203	82	4	177	88	97	33	100	323	4	81	9	175	0	342	0	22	48	33	7	0	2	2	12	256
20180109	483	43	91	264	390	616	183	101	258	2348	1	162	320	20	23	3	88	207	57	1	228	99	111	39	156	310	6	95	9	177	0	333	0	25	48	34	7	3	4	4	13	256
20180110	493	55	73	268	289	522	138	112	296	2117	0	142	351	25	30	6	67	208	60	2	179	77	83	43	122	274	12	100	13	167	0	313	0	20	48	32	9	0	4	4	17	256
